timestamp,market,action,direction,price,fill_price,position_pnl,capital,open_positions_count
2026-03-30T13:00:01.543793+00:00,will-houthi-military-action-against-saudi-arabia-occur-by-ap,entry,long,0.160000,0.161120,0.00,266.23,20
2026-03-30T13:07:17.046825+00:00,will-the-price-of-xrp-be-above-$1.40-on-march-31?,exit,short,0.140000,0.140980,82.43,848.66,20
2026-03-30T13:07:17.050956+00:00,will-liberia-win-on-2026-03-31?,exit,long,0.250000,0.248250,1554.37,2903.03,19
2026-03-30T13:14:30.556477+00:00,will-palantir-(pltr)-close-above-$146-end-of-march?,entry,long,0.390000,0.392730,0.00,2403.03,19
2026-03-30T13:24:16.317804+00:00,will-fk-dukla-praha-win-on-2026-04-18?,entry,long,0.160000,0.161120,0.00,1903.03,20
2026-03-30T13:36:25.504493+00:00,will-palantir-(pltr)-close-above-$146-end-of-march?,exit,long,0.300000,0.297900,-120.73,2282.30,20
2026-03-30T13:38:49.459308+00:00,will-the-highest-temperature-in-madrid-be-23°c-on-april-4?,entry,short,0.170000,0.168810,0.00,1782.30,20
2026-03-30T13:43:38.708952+00:00,will-the-highest-temperature-in-madrid-be-23°c-on-april-4?,exit,short,0.190000,0.191330,-66.70,2215.60,20
2026-03-30T13:46:01.946287+00:00,will-the-highest-temperature-in-warsaw-be-14°c-on-april-3?,entry,short,0.220000,0.218460,0.00,1715.60,20
2026-03-30T14:02:50.377606+00:00,will-houthi-military-action-against-saudi-arabia-occur-by-ap,exit,long,0.290000,0.287970,209.60,2191.43,20
2026-03-30T14:05:12.440367+00:00,will-threadguy-appear-on-the-uponly-podcast-by-december-31?,entry,long,0.230000,0.231610,0.00,1691.43,20
2026-03-30T14:59:55.392424+00:00,will-merab-dvalishvili-be-the-ufc-bantamweight-champion-on-d,exit,long,0.180000,0.178740,306.81,2498.24,20
2026-03-30T15:02:18.732878+00:00,will-the-highest-temperature-in-beijing-be-20°c-on-april-2?,entry,long,0.230000,0.231610,0.00,1998.24,20
2026-03-30T15:09:30.373605+00:00,will-threadguy-appear-on-the-uponly-podcast-by-december-31?,exit,long,0.270000,0.268110,78.80,2577.04,20
2026-03-30T15:14:14.131674+00:00,will-the-highest-temperature-in-shenzhen-be-25°c-on-april-3?,entry,long,0.110000,0.110770,0.00,2077.04,20
2026-03-30T15:40:11.426553+00:00,mobile-legends-bang-bang:-selangor-red-giants-vs-team-vamos-,exit,long,0.180000,0.178740,91.66,2668.70,20
2026-03-30T15:42:32.187130+00:00,will-donald-trump-post-80-99-truth-social-posts-from-march-3,entry,long,0.270000,0.271890,0.00,2168.70,20
